,DEF,EN,FUNCTN,GEN_REF,GP,NB,NEW,end,start,type
Noreskal_1401219834103,INDEF,,OBJ,GENE,NO,SG,YES,25455,25444,N
Noreskal_1401219840448,Bare,,ATTR,GENE,NO,Bare,YES,25489,25479,N
Noreskal_1401219852914,INDEF,,SUJ,GENE,NO,SG,YES,25671,25661,N
Noreskal_1401219862708,Bare,,OBJ,GENE,NO,Bare,YES,25749,25738,N
Noreskal_1401219866561,Bare,,Other,SPEC,NO,Bare,YES,25856,25837,N
Noreskal_1401219897691,DEF_SPLE,,Other,GENE,NO,Bare,YES,25871,25866,N
Noreskal_1401219910267,DEF_SPLE,,Other,GENE,YES,Bare,YES,26039,26027,N
Noreskal_1401219927297,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,24892,24891,PR
Noreskal_1401219953417,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,956,955,PR
Noreskal_1401219959385,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,994,993,PR
Noreskal_1401219969721,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,1544,1543,PR
Noreskal_1401219972846,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,1549,1548,PR
Noreskal_1401219976120,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,1577,1576,PR
Noreskal_1401220006481,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,2765,2764,PR
Noreskal_1401220064329,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4057,4056,PR
Noreskal_1401220068233,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4096,4095,PR
Noreskal_1401220071536,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4109,4106,PR
Noreskal_1401220077649,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4358,4356,PR
Noreskal_1401220083982,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4398,4397,PR
Noreskal_1401220133750,Bare,NO,Other,SPEC,NO,SG,YES,6733,6721,PR
Noreskal_1401267049777,Bare,,SUJ,SPEC,NO,Bare,YES,16035,16026,N
Noreskal_1401267053817,Bare,,SUJ,SPEC,NO,Bare,YES,16047,16041,N
Noreskal_1401268251362,INDEF,,Other,GENE,YES,SG,YES,18871,18860,N
Noreskal_1401269136339,Bare,,Other,SPEC,YES,Bare,YES,20250,20224,N
Noreskal_1401269140774,Bare,,Other,SPEC,YES,Bare,YES,20250,20233,N
Noreskal_1401269146379,Bare,,Other,SPEC,YES,Bare,YES,20250,20241,N
Noreskal_1401276813437,Bare,NO,OBJ,SPEC,NO,SG,NO,24902,24900,PR
Noreskal_1401277731891,Bare,,OBJ,SPEC,NO,Bare,YES,1394,1387,N
Noreskal_1401278217691,INDEF,,ATTR,GENE,NO,PL,YES,5984,5978,N
Noreskal_1401278291916,Bare,,Other,SPEC,YES,Bare,NO,6952,6946,N
Noreskal_1401278994965,DEF_DEM,NO,OBJ,SPEC,NO,SG,NO,11510,11508,PR
Noreskal_1401279246625,Bare,,SUJ,SPEC,NO,Bare,YES,12305,12301,N
Noreskal_1401281826562,Bare,,Other,SPEC,NO,Bare,NO,21447,21444,N
Noreskal_1401282160605,INDEF,NO,SUJ,SPEC,NO,PL,YES,23243,23241,PR
Noreskal_1401282198435,INDEF,NO,SUJ,SPEC,NO,PL,NO,23250,23248,PR
Noreskal_1401282219230,INDEF,NO,SUJ,SPEC,NO,PL,NO,23299,23297,PR
Noreskal_1401282235438,Bare,NO,Other,SPEC,NO,SG,NO,23304,23303,PR
Noreskal_1401282774886,INDEF,,Other,GENE,YES,SG,YES,25053,25044,N
Noreskal_1402596746697,Bare,,Other,GENE,NO,Bare,YES,14631,14625,N
Noreskal_1402596768255,INDEF,NO,SUJ,GENE,NO,PL,YES,14659,14657,PR
Noreskal_1402596879539,INDEF,NO,SUJ,GENE,NO,PL,YES,17630,17628,PR
Noreskal_1402597431724,INDEF,NO,SUJ,GENE,NO,PL,YES,19065,19063,PR
Noreskal_1402598287085,INDEF,NO,SUJ,SPEC,NO,PL,NO,12725,12723,PR
Noreskal_1402598359489,INDEF,NO,SUJ,SPEC,NO,PL,NO,12741,12739,PR
Noreskal_1402610803362,Bare,,Other,SPEC,NO,Bare,YES,8269,8262,N
Noreskal_1402610935943,DEF_DEM,NO,SUJ,SPEC,NO,SG,YES,8578,8576,PR
Noreskal_1402611008677,DEF_DEM,NO,Other,SPEC,NO,SG,YES,2891,2889,PR
Noreskal_1402611045285,DEF_DEM,NO,Other,SPEC,NO,SG,YES,3036,3034,PR
Noreskal_1402611138413,DEF_DEM,NO,Other,SPEC,NO,SG,YES,4554,4552,PR
Noreskal_1402611233958,Bare,,Other,SPEC,NO,Bare,YES,6196,6192,N
Noreskal_1402611411585,DEF_DEM,NO,Other,SPEC,NO,SG,YES,8796,8794,PR
Noreskal_1402611439648,DEF_SPLE,NO,SUJ,SPEC,NO,SG,YES,9381,9379,PR
Noreskal_1402611502279,DEF_DEM,NO,OBJ,SPEC,NO,SG,YES,9425,9423,PR
Noreskal_1402611549397,Bare,NO,OBJ,SPEC,NO,SG,NO,9614,9613,PR
Noreskal_1402644945032,DEF_DEM,NO,OBJ,SPEC,NO,SG,NO,10486,10484,PR
Noreskal_1402644997480,DEF_DEM,NO,OBJ,SPEC,NO,SG,NO,11183,11181,PR
Noreskal_1402646071029,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,20540,20538,PR
Noreskal_1402646112384,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,20551,20550,PR
Noreskal_1402646306979,DEF_DEM,NO,Other,SPEC,YES,SG,YES,24116,24114,PR
Noreskal_1402646410938,Bare,,ATTR,GENE,NO,Bare,YES,24814,24799,N
Noreskal_1402931635446,INDEF,NO,OBJ,GENE,NO,SG,YES,25078,25074,PR
Noreskal_1402932319794,DEF_DEM,NO,Other,SPEC,NO,SG,NO,1566,1564,PR
Noreskal_1402933523879,Bare,,Other,SPEC,YES,Bare,NO,7264,7261,N
Noreskal_1402933561632,Bare,,Other,SPEC,YES,Bare,NO,7309,7303,N
Noreskal_1402933599735,Bare,,Other,SPEC,NO,Bare,YES,7441,7429,N
Noreskal_1402933604513,Bare,,Other,SPEC,YES,Bare,NO,7457,7454,N
Noreskal_1402934417470,INDEF,NO,OBJ,SPEC,NO,SG,YES,9708,9706,PR
Noreskal_1402934515787,Bare,,Other,SPEC,YES,Bare,NO,10167,10162,N
Noreskal_1402934581135,Bare,,Other,SPEC,NO,Bare,NO,10277,10271,N
Noreskal_1402934601726,Bare,,Other,SPEC,YES,Bare,YES,9997,9990,N
Noreskal_1402934615061,Bare,,Other,SPEC,NO,Bare,NO,10365,10359,N
Noreskal_1402935453460,DEF_SPLE,NO,SUJ,SPEC,NO,PL,YES,14031,14029,PR
Noreskal_1402935499293,DEF_SPLE,NO,SUJ,SPEC,NO,PL,NO,14102,14100,PR
Noreskal_1402935577925,DEF_SPLE,NO,SUJ,SPEC,NO,PL,NO,14255,14253,PR
Noreskal_1402935606282,DEF_SPLE,NO,SUJ,SPEC,NO,PL,NO,14321,14319,PR
Noreskal_1402935729179,INDEF,NO,OBJ,GENE,NO,SG,YES,14650,14646,PR
Noreskal_1402935764262,INDEF,NO,OBJ,SPEC,NO,SG,YES,14679,14677,PR
Noreskal_1402936002913,INDEF,NO,OBJ,SPEC,NO,SG,YES,12441,12433,PR
Noreskal_1402937630436,DEF_SPLE,NO,SUJ,SPEC,NO,PL,YES,26129,26127,PR
Noreskal_1402937666320,INDEF,NO,OBJ,GENE,NO,SG,YES,26149,26145,PR
Noreskal_1402940410505,DEF_DEM,NO,OBJ,SPEC,NO,SG,YES,11476,11474,PR
Noreskal_1403097820776,Bare,NO,Other,SPEC,YES,SG,NO,979,978,PR
Noreskal_1403589534963,INDEF,,Other,GENE,NO,PL,YES,18673,18664,N
Noreskal_1403589593269,Bare,,OBJ,GENE,NO,Bare,NO,21115,21111,N
Noreskal_1403589668966,Bare,,SUJ,SPEC,NO,Bare,NO,21287,21283,N
Noreskal_1403589739979,Bare,,OBJ,SPEC,NO,Bare,YES,21545,21538,N
Noreskal_1403589796245,Bare,,OBJ,GENE,NO,Bare,YES,23881,23877,N
Noreskal_1403589874981,Bare,,OBJ,GENE,NO,PL,YES,24339,24329,N
,,,,,,,,,,
Noreskal_1400747580561,INDEF,,ATTR,GENE,NO,SG,YES,288,281,N
Noreskal_1400747616566,INDEF,,ATTR,GENE,NO,SG,YES,320,311,N
Noreskal_1400747636035,INDEF,,ATTR,GENE,NO,SG,YES,331,325,N
Noreskal_1400747659591,Bare,,OBJ,SPEC,NO,Bare,YES,391,386,N
Noreskal_1400747697920,Bare,,SUJ,SPEC,NO,Bare,NO,486,481,N
Noreskal_1400747723738,DEF_SPLE,NO,OBJ,SPEC,YES,SG,NO,497,496,PR
Noreskal_1400747769259,Bare,,OBJ,GENE,NO,Bare,YES,546,540,N
Noreskal_1400747819975,DEF_SPLE,,SUJ,SPEC,NO,Bare,YES,592,574,N
Noreskal_1400747822829,Bare,,ATTR,SPEC,NO,Bare,NO,601,596,N
Noreskal_1400747922685,Bare,,SUJ,SPEC,NO,Bare,NO,627,622,N
Noreskal_1400747925977,INDEF,,ATTR,GENE,NO,SG,NO,637,631,N
Noreskal_1400747928613,INDEF,,ATTR,GENE,NO,SG,NO,650,641,N
Noreskal_1400747936101,DEF_DEM,NO,OBJ,SPEC,NO,SG,YES,666,664,PR
Noreskal_1400747945664,Bare,,OBJ,SPEC,NO,Bare,NO,725,720,N
Noreskal_1400747953152,DEF_SPLE,,Other,SPEC,NO,Bare,YES,809,796,N
Noreskal_1400747962840,DEF_SPLE,,OBJ,SPEC,NO,Bare,NO,836,828,N
Noreskal_1400748062368,Bare,,OBJ,SPEC,NO,Bare,NO,905,900,N
Noreskal_1400748065020,INDEF,NO,Other,SPEC,YES,PL,YES,918,916,PR
Noreskal_1400748079403,Bare,,ATTR,SPEC,NO,Bare,YES,959,942,N
Noreskal_1400748082554,DEF_SPLE,,OBJ,SPEC,YES,PL,NO,959,949,N
Noreskal_1400748085908,Bare,,ATTR,SPEC,NO,Bare,YES,975,961,N
Noreskal_1400748096688,Bare,,Other,SPEC,NO,Bare,YES,975,966,N
Noreskal_1400748100369,Bare,,SUJ,GENE,NO,Bare,NO,1010,1005,N
Noreskal_1400748103053,INDEF,,ATTR,GENE,NO,SG,YES,1026,1014,N
Noreskal_1400748127826,DEF_DEM,NO,Other,SPEC,YES,SG,NO,1058,1056,PR
Noreskal_1400748132194,Bare,,OBJ,SPEC,NO,Bare,NO,1098,1093,N
Noreskal_1400748137232,Bare,,OBJ,SPEC,NO,Bare,NO,1140,1134,N
Noreskal_1400748138761,Bare,,OBJ,SPEC,NO,Bare,NO,1153,1148,N
Noreskal_1400748156670,Bare,,ATTR,GENE,NO,Bare,YES,1238,1203,N
Noreskal_1400748164844,INDEF,,ATTR,GENE,NO,Bare,YES,1258,1246,N
Noreskal_1400748166997,INDEF,,ATTR,SPEC,NO,Bare,YES,1273,1263,N
Noreskal_1400748181630,INDEF,,ATTR,SPEC,NO,Bare,YES,1312,1297,N
Noreskal_1400748205545,Bare,,OBJ,SPEC,NO,Bare,YES,1371,1361,N
Noreskal_1400748218212,Bare,,OBJ,SPEC,NO,Bare,NO,1452,1447,N
Noreskal_1400748221675,INDEF,,ATTR,GENE,NO,Bare,NO,1506,1500,N
Noreskal_1400748227385,Bare,,ATTR,SPEC,NO,Bare,YES,1568,1555,N
Noreskal_1400748230552,Bare,,SUJ,GENE,NO,Bare,YES,1608,1591,N
Noreskal_1400748240910,INDEF,NO,Other,SPEC,NO,PL,YES,1671,1668,PR
Noreskal_1400748245169,Bare,,OBJ,GENE,NO,Bare,NO,1696,1691,N
Noreskal_1400748250676,INDEF,NO,SUJ,SPEC,NO,PL,NO,1719,1717,PR
Noreskal_1400748254685,Bare,,OBJ,SPEC,NO,Bare,NO,1739,1729,N
Noreskal_1400748263327,INDEF,,OBJ,SPEC,NO,SG,YES,1850,1837,N
Noreskal_1400748268023,INDEF,,OBJ,SPEC,NO,SG,YES,1881,1863,N
Noreskal_1400748274185,Bare,,Other,GENE,YES,Bare,YES,1881,1875,N
Noreskal_1400748285698,DEF_SPLE,,ATTR,SPEC,NO,Bare,NO,1921,1905,N
Noreskal_1400748292312,Bare,,Other,GENE,YES,Bare,NO,1987,1982,N
Noreskal_1400748310767,DEF_DEM,NO,Other,SPEC,YES,SG,YES,2074,2072,PR
Noreskal_1400748322982,INDEF,NO,SUJ,SPEC,NO,PL,YES,2162,2160,PR
Noreskal_1400748326227,INDEF,,OBJ,GENE,NO,SG,YES,2173,2166,N
Noreskal_1400748332779,DEF_SPLE,,Other,SPEC,YES,SG,YES,2216,2200,N
Noreskal_1400748336414,Bare,,Other,SPEC,YES,Bare,NO,2225,2220,N
Noreskal_1400748347958,Bare,,Other,SPEC,YES,Bare,NO,2262,2257,N
Noreskal_1400748351748,Bare,,Other,GENE,YES,Bare,NO,2291,2288,N
Noreskal_1400748360032,Bare,,ATTR,GENE,NO,Bare,NO,2340,2337,N
Noreskal_1400748363308,Bare,,SUJ,SPEC,NO,Bare,NO,2323,2318,N
Noreskal_1400748366522,Bare,,ATTR,GENE,NO,Bare,NO,2362,2358,N
Noreskal_1400748369954,Bare,,SUJ,SPEC,NO,Bare,NO,2398,2393,N
Noreskal_1400748378050,Bare,,Other,SPEC,NO,Bare,NO,2439,2432,N
Noreskal_1400748384945,Bare,,Other,SPEC,NO,Bare,NO,2524,2517,N
Noreskal_1400748387379,Bare,,SUJ,SPEC,NO,Bare,NO,2553,2546,N
Noreskal_1400748391138,INDEF,NO,SUJ,SPEC,NO,PL,NO,2609,2607,PR
Noreskal_1400748395319,INDEF,NO,SUJ,SPEC,NO,PL,NO,2644,2642,PR
Noreskal_1400748399438,Bare,,Other,SPEC,YES,Bare,NO,2664,2659,N
Noreskal_1400748404336,Bare,,Other,GENE,NO,Bare,NO,2691,2686,N
Noreskal_1400748406707,INDEF,,ATTR,SPEC,NO,SG,NO,2701,2694,N
Noreskal_1400748412854,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,2743,2742,PR
Noreskal_1400749786558,Bare,,Other,GENE,YES,Bare,NO,1608,1603,N
Noreskal_1400749800535,Bare,NO,SUJ,SPEC,NO,SG,NO,812,810,PR
Noreskal_1400750139649,Bare,NO,SUJ,SPEC,NO,PL,NO,1674,1672,PR
Noreskal_1400750223811,Bare,,Other,SPEC,YES,Bare,NO,1739,1735,N
Noreskal_1400750670206,Bare,,ATTR,GENE,NO,Bare,YES,2352,2348,N
Noreskal_1402646530356,INDEF,NO,SUJ,SPEC,NO,PL,YES,366,364,PR
,,,,,,,,,,
Noreskal_1400755294950,Bare,,ATTR,SPEC,NO,Bare,YES,290,286,N
Noreskal_1400755310352,Bare,,Other,GENE,NO,Bare,YES,321,316,N
Noreskal_1400755314802,Bare,,Other,SPEC,NO,Bare,YES,384,371,N
Noreskal_1400755316686,Bare,,Other,SPEC,NO,Bare,YES,395,385,N
Noreskal_1400755328260,INDEF,,ATTR,SPEC,NO,Bare,YES,622,614,N
Noreskal_1400755330047,Bare,,Other,SPEC,NO,Bare,NO,590,582,N
Noreskal_1400755334753,Bare,,OBJ,GENE,NO,Bare,YES,652,647,N
Noreskal_1400755337585,DEF_SPLE,,Other,GENE,NO,Bare,NO,662,654,N
Noreskal_1400755344577,Bare,,SUJ,GENE,NO,PL,YES,716,707,N
Noreskal_1400755347897,Bare,,Other,GENE,NO,Bare,YES,738,732,N
Noreskal_1400755354254,Bare,,OBJ,GENE,NO,Bare,YES,782,776,N
Noreskal_1400755357853,Bare,,SUJ,GENE,NO,Bare,YES,791,784,N
Noreskal_1400755361987,Bare,,OBJ,GENE,NO,Bare,YES,842,836,N
Noreskal_1400755364054,Bare,,OBJ,GENE,NO,Bare,NO,849,844,N
Noreskal_1400755367750,Bare,,Other,GENE,NO,Bare,YES,884,876,N
Noreskal_1400755373682,Bare,,Other,GENE,NO,Bare,NO,950,945,N
Noreskal_1400755376624,Bare,,Other,GENE,NO,Bare,YES,966,959,N
Noreskal_1400755378437,Bare,,Other,GENE,NO,Bare,NO,983,976,N
Noreskal_1400755384856,Bare,,Other,SPEC,NO,Bare,YES,1013,1004,N
Noreskal_1400755389441,Bare,,ATTR,GENE,NO,Bare,YES,1032,1026,N
Noreskal_1400755397406,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,1082,1081,PR
Noreskal_1400755400992,Bare,,OBJ,GENE,YES,Bare,NO,1137,1128,N
Noreskal_1400755408761,INDEF,,OBJ,GENE,NO,Bare,YES,1182,1172,N
Noreskal_1400755423755,Bare,,Other,SPEC,NO,Bare,YES,1253,1241,N
Noreskal_1400755432097,Bare,,Other,SPEC,YES,Bare,NO,1284,1276,N
Noreskal_1400755436402,Bare,,ATTR,SPEC,NO,Bare,YES,1327,1306,N
Noreskal_1400755441132,Bare,,OBJ,GENE,NO,Bare,YES,1394,1390,N
Noreskal_1400755448051,Bare,,SUJ,GENE,NO,Bare,YES,1481,1475,N
Noreskal_1400755450727,Bare,,SUJ,GENE,NO,Bare,NO,1520,1511,N
Noreskal_1400755458885,Bare,,OBJ,SPEC,NO,Bare,YES,1558,1549,N
Noreskal_1400755460807,Bare,NO,Other,SPEC,YES,SG,NO,1558,1557,PR
Noreskal_1400755464247,Bare,,OBJ,SPEC,NO,Bare,YES,1573,1560,N
Noreskal_1400755466339,Bare,NO,Other,SPEC,YES,SG,NO,1573,1572,PR
Noreskal_1400755475423,Bare,,OBJ,GENE,NO,Bare,YES,1593,1589,N
Noreskal_1400755483923,Bare,,TOPIC,SPEC,NO,Bare,NO,1664,1651,N
Noreskal_1400755486950,DEF_DEM,NO,OBJ,SPEC,NO,SG,NO,1701,1699,PR
Noreskal_1400755500155,Bare,,Other,GENE,NO,Bare,YES,1803,1796,N
Noreskal_1400755504216,Bare,NO,SUJ,SPEC,NO,SG,NO,1806,1804,PR
Noreskal_1400755519441,DEF_SPLE,NO,OBJ,SPEC,NO,PL,NO,1818,1816,PR
Noreskal_1400755524827,Bare,,Other,SPEC,NO,Bare,NO,1864,1856,N
Noreskal_1400755532171,Bare,,Other,GENE,NO,Bare,YES,1941,1934,N
Noreskal_1400755546569,Bare,,OBJ,GENE,NO,Bare,NO,1986,1979,N
Noreskal_1400755553975,INDEF,,OBJ,SPEC,NO,SG,YES,2013,2004,N
Noreskal_1400755562607,Bare,,Other,GENE,NO,Bare,YES,2037,2034,N
Noreskal_1400755565221,Bare,,Other,SPEC,NO,Bare,YES,2043,2039,N
Noreskal_1400755572663,Bare,,SUJ,GENE,NO,Bare,NO,2079,2070,N
Noreskal_1400755576869,Bare,,SUJ,GENE,NO,Bare,YES,2115,2109,N
Noreskal_1400755584177,INDEF,,OBJ,SPEC,NO,SG,NO,2193,2184,N
Noreskal_1400755591594,Bare,,OBJ,GENE,NO,Bare,YES,2253,2244,N
Noreskal_1400755608351,Bare,,OBJ,GENE,NO,Bare,NO,2300,2293,N
Noreskal_1400755617907,Bare,,Other,SPEC,NO,Bare,NO,2336,2328,N
Noreskal_1400755619888,DEF_DEM,NO,OBJ,SPEC,NO,SG,NO,2347,2344,PR
Noreskal_1400755795749,Bare,,Other,SPEC,NO,Bare,YES,384,377,N
Noreskal_1400755810338,Bare,,Other,SPEC,NO,Bare,YES,395,391,N
Noreskal_1400756430086,Bare,NO,ATTR,SPEC,NO,SG,YES,875,873,PR
Noreskal_1401805617368,INDEF,,OBJ,GENE,NO,PL,YES,2495,2486,N
Noreskal_1401805643126,Bare,,Other,SPEC,NO,Bare,YES,2634,2625,N
Noreskal_1401805674397,INDEF,,OBJ,GENE,YES,PL,YES,2727,2719,N
Noreskal_1401805712666,INDEF,NO,OBJ,SPEC,NO,SG,YES,2794,2787,PR
Noreskal_1401805737246,DEF_DEM,NO,OBJ,SPEC,YES,SG,NO,2817,2815,PR
Noreskal_1401805972606,INDEF,,OBJ,GENE,NO,PL,YES,2944,2933,N
Noreskal_1401805979116,Bare,,Other,SPEC,YES,Bare,YES,2994,2987,N
Noreskal_1401806049136,INDEF,,OBJ,GENE,NO,SG,YES,3109,3099,N
Noreskal_1401806066783,INDEF,,OBJ,GENE,NO,SG,YES,3139,3131,N
Noreskal_1401806088751,DEF_SPLE,,OBJ,SPEC,NO,Bare,YES,3170,3161,N
Noreskal_1401806130756,DEF_SPLE,,ATTR,SPEC,NO,Bare,YES,3265,3249,N
Noreskal_1401806149979,DEF_DEM,NO,ATTR,SPEC,NO,UNK,YES,3202,3200,PR
Noreskal_1401806152675,INDEF,NO,ATTR,SPEC,NO,UNK,NO,3245,3243,PR
Noreskal_1401806319852,Bare,,OBJ,GENE,NO,Bare,YES,3403,3397,N
Noreskal_1401806363709,Bare,,Other,SPEC,NO,Bare,YES,3439,3431,N
Noreskal_1401806379033,DEF_DEM,NO,SUJ,SPEC,NO,SG,NO,3427,3425,PR
Noreskal_1401806385349,Bare,,Other,SPEC,NO,Bare,YES,3469,3461,N
Noreskal_1401806387680,Bare,,OBJ,SPEC,NO,Bare,YES,3484,3479,N
Noreskal_1401806409973,Bare,,ATTR,GENE,NO,Bare,YES,3515,3509,N
Noreskal_1401806413482,Bare,,ATTR,GENE,NO,Bare,YES,3530,3526,N
Noreskal_1401806420187,Bare,,Other,SPEC,NO,Bare,YES,3579,3561,N
Noreskal_1401806423757,Bare,,Other,SPEC,NO,Bare,NO,3597,3589,N
Noreskal_1401806428991,DEF_SPLE,,OBJ,SPEC,NO,Bare,YES,3651,3639,N
Noreskal_1401806815807,INDEF,,OBJ,GENE,NO,SG,NO,3807,3799,N
Noreskal_1401806843708,INDEF,,Other,GENE,NO,SG,YES,3814,3808,N
Noreskal_1401806849184,Bare,NO,OBJ,SPEC,NO,SG,NO,3831,3830,PR
Noreskal_1401806852462,INDEF,,OBJ,GENE,NO,SG,YES,3845,3832,N
Noreskal_1401806876370,DEF_SPLE,,Other,SPEC,NO,SG,YES,4001,3982,N
Noreskal_1401806880582,INDEF,,OBJ,GENE,NO,SG,YES,4028,4018,N
Noreskal_1401806883776,INDEF,,OBJ,GENE,NO,SG,YES,4039,4030,N
Noreskal_1401806888341,INDEF,,OBJ,GENE,NO,SG,YES,4084,4074,N
Noreskal_1401806911642,Bare,,Other,SPEC,NO,Bare,NO,4215,4207,N
Noreskal_1401806914374,INDEF,,OBJ,GENE,NO,SG,YES,4239,4231,N
Noreskal_1401806918004,Bare,,OBJ,GENE,NO,Bare,YES,4268,4256,N
Noreskal_1401807272981,Bare,,OBJ,GENE,NO,SG,YES,4448,4433,N
Noreskal_1401807278762,Bare,,Other,SPEC,NO,Bare,YES,4481,4475,N
Noreskal_1401807282248,Bare,,SUJ,SPEC,NO,Bare,YES,4517,4503,N
Noreskal_1401807287929,Bare,NO,OBJ,SPEC,YES,SG,NO,4565,4564,PR
Noreskal_1401807295240,Bare,,ATTR,GENE,NO,Bare,NO,4575,4570,N
Noreskal_1401807314867,Bare,,Other,SPEC,YES,Bare,NO,4682,4674,N
Noreskal_1401807318166,Bare,,SUJ,SPEC,NO,Bare,NO,4712,4704,N
Noreskal_1401807320194,Bare,,ATTR,SPEC,NO,Bare,NO,4728,4716,N
Noreskal_1401807331317,INDEF,,OBJ,GENE,NO,SG,YES,4808,4798,N
Noreskal_1401807336429,Bare,,OBJ,SPEC,NO,Bare,YES,4764,4758,N
Noreskal_1401807341067,Bare,,SUJ,GENE,NO,Bare,NO,4828,4821,N
Noreskal_1401807342209,Bare,,ATTR,GENE,NO,Bare,NO,4837,4832,N
Noreskal_1401807735681,Bare,,OBJ,SPEC,NO,Bare,YES,4921,4904,N
Noreskal_1401807738453,Bare,,OBJ,SPEC,NO,Bare,YES,4920,4912,N
Noreskal_1401807742894,INDEF,,ATTR,SPEC,NO,PL,NO,4929,4924,N
Noreskal_1401807755923,Bare,,OBJ,SPEC,NO,Bare,YES,4997,4983,N
Noreskal_1401807760866,Bare,,OBJ,SPEC,NO,Bare,YES,5043,5036,N
Noreskal_1401807773748,DEF_SPLE,,SUJ,SPEC,NO,SG,NO,5088,5074,N
Noreskal_1401807775643,Bare,,ATTR,SPEC,NO,Bare,YES,5104,5092,N
Noreskal_1401807783839,Bare,,Other,SPEC,NO,Bare,NO,5146,5138,N
Noreskal_1401807787446,Bare,,OBJ,GENE,YES,Bare,YES,5184,5171,N
Noreskal_1401807823378,Bare,,Other,SPEC,NO,Bare,YES,5215,5210,N
Noreskal_1401807826790,Bare,,OBJ,SPEC,NO,Bare,NO,5244,5236,N
Noreskal_1401807829826,Bare,,TOPIC,SPEC,NO,Bare,NO,5272,5264,N
Noreskal_1401807844824,Bare,,Other,GENE,YES,Bare,YES,5298,5292,N
Noreskal_1401807849256,Bare,,OBJ,GENE,NO,Bare,YES,5321,5314,N
Noreskal_1401807895196,DEF_SPLE,,SUJ,GENE,NO,SG,YES,5396,5389,N
Noreskal_1401807899980,Bare,,OBJ,GENE,NO,Bare,YES,5443,5432,N
Noreskal_1401807903879,Bare,,OBJ,GENE,NO,Bare,YES,5459,5445,N
Noreskal_1401807906040,Bare,,OBJ,GENE,NO,Bare,YES,5472,5461,N
Noreskal_1401807911571,DEF_SPLE,,OBJ,SPEC,NO,Bare,YES,5565,5556,N
Noreskal_1401807925435,DEF_SPLE,,OBJ,GENE,NO,Bare,YES,5586,5577,N
Noreskal_1401807928168,DEF_SPLE,,OBJ,GENE,NO,Bare,YES,5600,5588,N
Noreskal_1401808153045,Bare,,Other,SPEC,NO,Bare,NO,5104,5097,N
Noreskal_1401808209470,Bare,,Other,SPEC,NO,Bare,NO,5184,5176,N
Noreskal_1401809982962,Bare,,Other,GENE,YES,Bare,YES,5443,5439,N
Noreskal_1401810005161,Bare,,Other,GENE,YES,Bare,YES,5459,5452,N
Noreskal_1401810017051,Bare,,Other,GENE,YES,Bare,YES,5472,5468,N
Noreskal_1401810072513,DEF_SPLE,,Other,GENE,YES,Bare,YES,5575,5569,N
Noreskal_1401810210168,DEF_SPLE,,Other,GENE,YES,PL,YES,5687,5682,N
Noreskal_1401810215100,INDEF,,OBJ,GENE,NO,SG,YES,5699,5693,N
Noreskal_1401810217808,INDEF,,Other,GENE,YES,SG,YES,5715,5705,N
Noreskal_1401810228884,DEF_SPLE,,OBJ,GENE,NO,Bare,YES,5759,5754,N
Noreskal_1401810233633,DEF_SPLE,,SUJ,GENE,NO,Bare,YES,5819,5811,N
Noreskal_1401810240373,Bare,,ATTR,GENE,NO,Bare,YES,5880,5875,N
Noreskal_1401810243910,Bare,,ATTR,GENE,NO,Bare,YES,5906,5901,N
Noreskal_1401810247234,Bare,,ATTR,GENE,NO,Bare,YES,5912,5908,N
Noreskal_1401810254667,Bare,,SUJ,SPEC,NO,Bare,YES,6002,5995,N
Noreskal_1401810264419,Bare,,Other,GENE,NO,Bare,YES,6100,6095,N
Noreskal_1401810267979,Bare,,OBJ,GENE,NO,Bare,YES,6118,6113,N
Noreskal_1401810270056,Bare,,Other,SPEC,YES,Bare,NO,6148,6143,N
Noreskal_1401810273852,Bare,,Other,SPEC,YES,Bare,NO,6193,6188,N
Noreskal_1401811531971,Bare,,Other,SPEC,NO,Bare,NO,1664,1656,N
Noreskal_1401811661455,Bare,,Other,SPEC,NO,Bare,YES,4997,4992,N
Noreskal_1401811760212,INDEF,,ATTR,GENE,NO,SG,YES,6275,6266,N
Noreskal_1401811771665,Bare,,Other,SPEC,NO,Bare,NO,6370,6365,N
Noreskal_1401811777856,DEF_SPLE,,SUJ,SPEC,NO,Bare,YES,6472,6464,N
Noreskal_1401811790911,DEF_DEM,NO,SUJ,SPEC,NO,PL,YES,6500,6498,PR
